article,question,question_chars,question_words
╨Ü╨░╨║╨╕╨╡ ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨╜╤â╨╢╨╜╤ï ╨┐╤Ç╨╕ ╨┐╨╛╨┤╨░╤ç╨╡ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╨╕ 3Γüá-Γüá╨¥╨ö╨ñ╨¢,Какие документы подтверждают доходы в пределах Российской Федерации?,68,8
╨Ü╨░╨║╨╕╨╡ ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨╜╤â╨╢╨╜╤ï ╨┐╤Ç╨╕ ╨┐╨╛╨┤╨░╤ç╨╡ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╨╕ 3Γüá-Γüá╨¥╨ö╨ñ╨¢,Какие документы подтверждают доходы за пределами Российской Федерации?,70,8
╨Ü╨░╨║╨╕╨╡ ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨╜╤â╨╢╨╜╤ï ╨┐╤Ç╨╕ ╨┐╨╛╨┤╨░╤ç╨╡ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╨╕ 3Γüá-Γüá╨¥╨ö╨ñ╨¢,Какие документы нужно приложить к декларации 3-НДФЛ для получения налогового вычета?,84,11
╨Ü╨░╨║╨╕╨╡ ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨╜╤â╨╢╨╜╤ï ╨┐╤Ç╨╕ ╨┐╨╛╨┤╨░╤ç╨╡ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╨╕ 3Γüá-Γüá╨¥╨ö╨ñ╨¢,"Какие документы подтверждают покупку имущества, если вы претендуете на имущественный налоговый вычет?",101,12
╨Ü╨░╨║╨╕╨╡ ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨╜╤â╨╢╨╜╤ï ╨┐╤Ç╨╕ ╨┐╨╛╨┤╨░╤ç╨╡ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╨╕ 3Γüá-Γüá╨¥╨ö╨ñ╨¢,"Какие документы подтверждают расходы на лечение или обучение, если вы претендуете на социальный налоговый вычет?",112,15
╨Æ╨╕╨┤╤ï ╨▒╨╕╤Ç╨╢,**Что такое фондовая биржа и как она работает?**,48,8
╨Æ╨╕╨┤╤ï ╨▒╨╕╤Ç╨╢,**Какие виды сделок доступны на фондовой бирже?**,49,7
╨Æ╨╕╨┤╤ï ╨▒╨╕╤Ç╨╢,**Что такое срочный рынок и как он работает?**,46,8
╨Æ╨╕╨┤╤ï ╨▒╨╕╤Ç╨╢,**Что такое внебиржевой рынок и как он отличается от биржевого?**,65,10
╨Æ╨╕╨┤╤ï ╨▒╨╕╤Ç╨╢,**Какие преимущества фондовой биржи делают её привлекательной для частных инвесторов?**,87,10
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое налоговый отчет и зачем он нужен инвестору?**,57,9
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как скачать налоговый отчет в приложении Т⁠-⁠Инвестиций?**,60,7
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Какие разделы содержит налоговый отчет?**,43,5
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Какие данные содержит вкладка «Итоговые расчеты»?**,53,6
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨┐╤Ç╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╕,Какие комиссии взимаются при автоследовании и как они рассчитываются?,69,9
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨┐╤Ç╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╕,Как рассчитывается комиссия за следование?,42,5
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨┐╤Ç╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╕,Как рассчитывается комиссия за результат?,41,5
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨┐╤Ç╨╕ ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╕,Какие налоги взимаются с дохода от автоследования?,50,7
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨▒╤Ç╨╛╨║╨╡╤Ç ╤â╨┤╨╡╤Ç╨╢╨╕╨▓╨░╨╡╤é ╨╜╨░╨╗╨╛╨│ ╨░╨▓╤é╨╛╨╝╨░╤é╨╕╤ç╨╡╤ü╨║╨╕",**Как именно брокер удерживает налог автоматически с брокерского счета в конце года?**,86,12
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨▒╤Ç╨╛╨║╨╡╤Ç ╤â╨┤╨╡╤Ç╨╢╨╕╨▓╨░╨╡╤é ╨╜╨░╨╗╨╛╨│ ╨░╨▓╤é╨╛╨╝╨░╤é╨╕╤ç╨╡╤ü╨║╨╕","**Как узнать сумму налога, удержанного брокером в конце года?**",63,9
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨▒╤Ç╨╛╨║╨╡╤Ç ╤â╨┤╨╡╤Ç╨╢╨╕╨▓╨░╨╡╤é ╨╜╨░╨╗╨╛╨│ ╨░╨▓╤é╨╛╨╝╨░╤é╨╕╤ç╨╡╤ü╨║╨╕",**Когда именно брокер удерживает налог с брокерского счета в конце года?**,74,11
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨▒╤Ç╨╛╨║╨╡╤Ç ╤â╨┤╨╡╤Ç╨╢╨╕╨▓╨░╨╡╤é ╨╜╨░╨╗╨╛╨│ ╨░╨▓╤é╨╛╨╝╨░╤é╨╕╤ç╨╡╤ü╨║╨╕","**Как влияют на расчет налога Инвесткопилка, маржинальная торговля и другие факторы?**",86,11
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨▒╤Ç╨╛╨║╨╡╤Ç ╤â╨┤╨╡╤Ç╨╢╨╕╨▓╨░╨╡╤é ╨╜╨░╨╗╨╛╨│ ╨░╨▓╤é╨╛╨╝╨░╤é╨╕╤ç╨╡╤ü╨║╨╕","**Нужно ли платить налог, если его уже удерживали в течение года?**",67,11
╨ÿ╨╜╤ü╤é╤Ç╤â╨╝╨╡╨╜╤é╤ï ╤ü ╨▓╤ï╤ü╨╛╨║╨╕╨╝ ╤Ç╨╕╤ü╨║╨╛╨╝,Какие основные банковские продукты и услуги доступны частным лицам в Т‑Банке?,77,11
╨ÿ╨╜╤ü╤é╤Ç╤â╨╝╨╡╨╜╤é╤ï ╤ü ╨▓╤ï╤ü╨╛╨║╨╕╨╝ ╤Ç╨╕╤ü╨║╨╛╨╝,Какие банковские продукты и услуги доступны малому и среднему бизнесу в Т‑Банке?,80,12
╨ÿ╨╜╤ü╤é╤Ç╤â╨╝╨╡╨╜╤é╤ï ╤ü ╨▓╤ï╤ü╨╛╨║╨╕╨╝ ╤Ç╨╕╤ü╨║╨╛╨╝,Какие услуги и продукты доступны в рамках премиального уровня сервиса в Т‑Банке?,80,12
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╨╕╤Ç╨╢╨░,Что такое биржа?,16,3
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╨╕╤Ç╨╢╨░,Какие услуги предоставляет банк физическим лицам?,49,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╨╕╤Ç╨╢╨░,Какие услуги предоставляются юридическим лицам и малому бизнесу?,64,8
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╨╕╤Ç╨╢╨░,Какие виды инвестиций доступны физическим лицам?,48,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╨╕╤Ç╨╢╨░,Какие дополнительные услуги и сервисы предоставляет банк?,57,7
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å ╤ü ╨╝╨░╨║╤ü╨╕╨╝╨░╨╗╤î╨╜╨╛╨╕╠å ╨▓╤ï╨│╨╛╨┤╨╛╨╕╠å,**Что такое Инвесткопилка и как она работает?**,47,7
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å ╤ü ╨╝╨░╨║╤ü╨╕╨╝╨░╨╗╤î╨╜╨╛╨╕╠å ╨▓╤ï╨│╨╛╨┤╨╛╨╕╠å,"**Как узнать, сколько денег я заработал с помощью Инвесткопилки?**",66,9
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å ╤ü ╨╝╨░╨║╤ü╨╕╨╝╨░╨╗╤î╨╜╨╛╨╕╠å ╨▓╤ï╨│╨╛╨┤╨╛╨╕╠å,**Почему Инвесткопилка может уйти в минус и что делать в такой ситуации?**,74,12
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å ╤ü ╨╝╨░╨║╤ü╨╕╨╝╨░╨╗╤î╨╜╨╛╨╕╠å ╨▓╤ï╨│╨╛╨┤╨╛╨╕╠å,**Как вывести деньги из Инвесткопилки и какие налоги удерживаются при этом?**,77,11
╨Ü╨░╨║ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╛╨╕╠å ╤ü ╨╝╨░╨║╤ü╨╕╨╝╨░╨╗╤î╨╜╨╛╨╕╠å ╨▓╤ï╨│╨╛╨┤╨╛╨╕╠å,**Как получить максимум выгоды от Инвесткопилки?**,50,6
╨ö╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╡ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╤ï,**Что такое депозитарный перевод ценных бумаг и зачем он нужен?**,65,10
╨ö╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╡ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╤ï,**Какие документы и информация нужны для депозитарного перевода ценных бумаг?**,79,10
╨ö╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╡ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╤ï,**Как происходит процесс депозитарного перевода ценных бумаг?**,63,7
╨ö╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╡ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╤ï,**Какие риски существуют при депозитарном переводе ценных бумаг?**,66,8
╨ö╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╡ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╤ï,**Как долго занимает процесс депозитарного перевода ценных бумаг?**,67,8
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое фьючерсный контракт?,30,4
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Какие виды фьючерсов существуют на Московской бирже?,52,7
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Какие риски существуют при торговле фьючерсами?,47,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое маржин-колл?,22,3
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Как работает кредитное плечо при торговле фьючерсами?,53,7
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ƒ╤â╨╗╤î╤ü,**Что такое социальная сеть «Пульс» и для чего она предназначена?**,67,10
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ƒ╤â╨╗╤î╤ü,**Как зарегистрироваться в социальной сети «Пульс»?**,53,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ƒ╤â╨╗╤î╤ü,**Какие типы профилей доступны в социальной сети «Пульс»?**,59,8
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ƒ╤â╨╗╤î╤ü,**Какие настройки доступны для профиля в социальной сети «Пульс»?**,67,9
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ƒ╤â╨╗╤î╤ü,**Почему мой пост не опубликовали в социальной сети «Пульс»?**,62,9
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое брокерский отчет и зачем он нужен?**,48,8
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как заказать брокерский отчет в Т⁠-⁠Инвестициях?**,52,6
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое сделки РЕПО и зачем они нужны?**,44,8
╨Ü╨░╨║ ╤ç╨╕╤é╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╨╛╤é╤ç╨╡╤é ╨╛╤é ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое овернайт на брокерском счете и как его включить или выключить?**,76,12
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,Какие комиссии предусмотрены при использовании счета «Портфельное инвестирование»?,82,8
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,Как рассчитывается комиссия за следование?,42,5
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,Какие особенности учета активов и налогов при портфельном инвестировании?,73,9
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,"Что происходит, если на счете портфельного инвестирования и обычном брокерском счете есть акции одних и тех же компаний?",120,18
╨Ü╨╛╨╝╨╕╤ü╤ü╨╕╨╕ ╨╕ ╨╜╨░╨╗╨╛╨│╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,Как происходит автоматическое удержание налога с инвестиций в конце года?,73,10
╨í╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡ ╤ä╨╕╨╜╨░╨╜╤ü╨╛╨▓╤ï╤à ╤Ç╨╡╨╖╤â╨╗╤î╤é╨░╤é╨╛╨▓ ╨╜╨░ ╤ü╤ç╨╡╤é╨░╤à ╤â ╤Ç╨░╨╖╨╜╤ï╤à ╨▒╤Ç╨╛╨║╨╡╤Ç╨╛╨▓ ╨╕ ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨┐╤Ç╨╛╤ê╨╗╤ï╤à ╨╗╨╡╤é,**Что такое сальдирование финансовых результатов на фондовом рынке?**,69,8
╨í╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡ ╤ä╨╕╨╜╨░╨╜╤ü╨╛╨▓╤ï╤à ╤Ç╨╡╨╖╤â╨╗╤î╤é╨░╤é╨╛╨▓ ╨╜╨░ ╤ü╤ç╨╡╤é╨░╤à ╤â ╤Ç╨░╨╖╨╜╤ï╤à ╨▒╤Ç╨╛╨║╨╡╤Ç╨╛╨▓ ╨╕ ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨┐╤Ç╨╛╤ê╨╗╤ï╤à ╨╗╨╡╤é,**Как провести сальдирование и вернуть излишне уплаченный налог?**,66,8
╨í╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡ ╤ä╨╕╨╜╨░╨╜╤ü╨╛╨▓╤ï╤à ╤Ç╨╡╨╖╤â╨╗╤î╤é╨░╤é╨╛╨▓ ╨╜╨░ ╤ü╤ç╨╡╤é╨░╤à ╤â ╤Ç╨░╨╖╨╜╤ï╤à ╨▒╤Ç╨╛╨║╨╡╤Ç╨╛╨▓ ╨╕ ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨┐╤Ç╨╛╤ê╨╗╤ï╤à ╨╗╨╡╤é,**Какие ограничения и правила существуют при сальдировании на фондовом рынке?**,79,10
╨í╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡ ╤ä╨╕╨╜╨░╨╜╤ü╨╛╨▓╤ï╤à ╤Ç╨╡╨╖╤â╨╗╤î╤é╨░╤é╨╛╨▓ ╨╜╨░ ╤ü╤ç╨╡╤é╨░╤à ╤â ╤Ç╨░╨╖╨╜╤ï╤à ╨▒╤Ç╨╛╨║╨╡╤Ç╨╛╨▓ ╨╕ ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨┐╤Ç╨╛╤ê╨╗╤ï╤à ╨╗╨╡╤é,**Какие документы нужны для сальдирования?**,44,5
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╤ä╨╛╨╜╨┤╤ï ETF ╨╕ ╨æ╨ƒ╨ÿ╨ñ,Что такое ETF?,14,3
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╤ä╨╛╨╜╨┤╤ï ETF ╨╕ ╨æ╨ƒ╨ÿ╨ñ,В чем отличие БПИФ от ETF?,26,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╤ä╨╛╨╜╨┤╤ï ETF ╨╕ ╨æ╨ƒ╨ÿ╨ñ,Что такое закрытые ПИФы?,24,4
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╤ä╨╛╨╜╨┤╤ï ETF ╨╕ ╨æ╨ƒ╨ÿ╨ñ,Какие преимущества у фондов ETF и БПИФ?,39,7
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╤ä╨╛╨╜╨┤╤ï ETF ╨╕ ╨æ╨ƒ╨ÿ╨ñ,Что такое биржевой индекс и бенчмарк?,37,6
╨Ü╨░╨║ ╨╖╨░╨║╨╗╤Ä╤ç╨░╤é╤î ╤ü╨┤╨╡╨╗╨║╨╕ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡,Как выставить рыночную заявку в терминале Т-Инвестиций?,55,7
╨Ü╨░╨║ ╨╖╨░╨║╨╗╤Ä╤ç╨░╤é╤î ╤ü╨┤╨╡╨╗╨║╨╕ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡,Что такое лимитная заявка и как её выставить в терминале Т-Инвестиций?,70,11
╨Ü╨░╨║ ╨╖╨░╨║╨╗╤Ä╤ç╨░╤é╤î ╤ü╨┤╨╡╨╗╨║╨╕ ╨▓ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗╨╡,Какие виды отложенных заявок доступны в терминале Т-Инвестиций и как они работают?,82,12
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие документы нужны для открытия брокерского счета несовершеннолетнему в возрасте от 14 до 18 лет?**,104,15
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Можно ли открыть брокерский счет нерезиденту РФ?**,52,7
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Сколько брокерских счетов можно открыть одному физическому лицу в Т‑Инвестициях?**,84,10
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как несовершеннолетнему открыть брокерский счет с 14 до 18 лет?**,67,10
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие ограничения действуют для брокерского счета несовершеннолетних в возрасте от 14 до 18 лет?**,100,14
╨Æ╨╡╤é╨╡╤Ç ╨┐╨╡╤Ç╨╡╨╝╨╡╨╜: ╤ç╤é╨╛ ╨┤╨╡╨╗╨░╤é╤î ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╤â,**Что такое кризис «Между Сциллой и Харибдой»?**,48,7
╨Æ╨╡╤é╨╡╤Ç ╨┐╨╡╤Ç╨╡╨╝╨╡╨╜: ╤ç╤é╨╛ ╨┤╨╡╨╗╨░╤é╤î ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╤â,**Почему в статье упоминается Россия?**,39,5
╨Æ╨╡╤é╨╡╤Ç ╨┐╨╡╤Ç╨╡╨╝╨╡╨╜: ╤ç╤é╨╛ ╨┤╨╡╨╗╨░╤é╤î ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╤â,**Как вести себя инвестору в условиях кризиса?**,48,7
╨Æ╨╡╤é╨╡╤Ç ╨┐╨╡╤Ç╨╡╨╝╨╡╨╜: ╤ç╤é╨╛ ╨┤╨╡╨╗╨░╤é╤î ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╤â,**Что значит «разобрались в устройстве кризиса»?**,50,6
